String Art Instructions
======================

Parameters:
- Total Nails: 200
- Shape: circle
- Output Size: 800px
- String Strength: 0.1
- Max Iterations: 2000
- Random Nails: 100
- White Background: False

Quadrant Layout:
- Blue: 12 o'clock (indices 150-199)
 832. Red 24 -> Green 39
 833. Green 39 -> Red 27
 834. Red 27 -> Blue 4
 835. Blue 4 -> Blue 48
 836. Blue 48 -> Green 50
 837. Green 50 -> Red 26
 838. Red 26 -> Blue 7
 839. Blue 7 -> Green 20
 840. Green 20 -> Yellow 42
 841. Yellow 42 -> Red 36
 842. Red 36 -> Green 36
 843. Green 36 -> Blue 10
 844. Blue 10 -> Red 33
 845. Red 33 -> Yellow 48
 846. Yellow 48 -> Red 42
 847. Red 42 -> Yellow 10
 848. Yellow 10 -> Blue 37
 849. Blue 37 -> Green 15
 850. Green 15 -> Yellow 36
 851. Yellow 36 -> Green 7
 852. Green 7 -> Yellow 40
 853. Yellow 40 -> Green 17
 854. Green 17 -> Yellow 37
 855. Yellow 37 -> Red 47
 856. Red 47 -> Blue 32
 857. Blue 32 -> Red 41
 858. Red 41 -> Blue 38
 859. Blue 38 -> Red 39
 860. Red 39 -> Yellow 50
 861. Yellow 50 -> Red 2
 862. Red 2 -> Yellow 9
 863. Yellow 9 -> Red 26
 864. Red 26 -> Blue 3
 865. Blue 3 -> Blue 50
 866. Blue 50 -> Green 4
 867. Green 4 -> Blue 5
 868. Blue 5 -> Red 45
 869. Red 45 -> Yellow 47
 870. Yellow 47 -> Green 28
 871. Green 28 -> Red 2
 872. Red 2 -> Blue 3
 873. Blue 3 -> Red 32
 874. Red 32 -> Green 34
 875. Green 34 -> Blue 5
 876. Blue 5 -> Red 48
 877. Red 48 -> Yellow 46
 878. Yellow 46 -> Green 22
 879. Green 22 -> Blue 5
 880. Blue 5 -> Red 14
 881. Red 14 -> Green 43
 882. Green 43 -> Red 33
 883. Red 33 -> Blue 39
 884. Blue 39 -> Green 13
 885. Green 13 -> Blue 5
 886. Blue 5 -> Green 37
 887. Green 37 -> Blue 1
 888. Blue 1 -> Green 23
 889. Green 23 -> Blue 44
 890. Blue 44 -> Yellow 48
 891. Yellow 48 -> Blue 46
 892. Blue 46 -> Yellow 19
 893. Yellow 19 -> Red 39
 894. Red 39 -> Blue 40
 895. Blue 40 -> Red 36
 896. Red 36 -> Green 41
 897. Green 41 -> Red 30
 898. Red 30 -> Yellow 50
 899. Yellow 50 -> Red 35
 900. Red 35 -> Yellow 28
 901. Yellow 28 -> Red 39
 902. Red 39 -> Yellow 16
 903. Yellow 16 -> Green 2
 904. Green 2 -> Blue 35
 905. Blue 35 -> Yellow 35
 906. Yellow 35 -> Red 48
 907. Red 48 -> Blue 44
 908. Blue 44 -> Yellow 17
 909. Yellow 17 -> Green 1
 910. Green 1 -> Blue 37
 911. Blue 37 -> Green 30
 912. Green 30 -> Blue 22
 913. Blue 22 -> Green 1
 914. Green 1 -> Yellow 1
 915. Yellow 1 -> Blue 36
 916. Blue 36 -> Red 31
 917. Red 31 -> Green 35
 918. Green 35 -> Red 37
 919. Red 37 -> Blue 5
 920. Blue 5 -> Red 22
 921. Red 22 -> Blue 9
 922. Blue 9 -> Green 18
 923. Green 18 -> Yellow 36
 924. Yellow 36 -> Red 10
 925. Red 10 -> Yellow 10
 926. Yellow 10 -> Red 12
 927. Red 12 -> Green 6
 928. Green 6 -> Yellow 49
 929. Yellow 49 -> Red 3
 930. Red 3 -> Yellow 11
 931. Yellow 11 -> Blue 39
 932. Blue 39 -> Yellow 42
 933. Yellow 42 -> Green 9
 934. Green 9 -> Red 5
 935. Red 5 -> Yellow 13
 936. Yellow 13 -> Red 50
 937. Red 50 -> Yellow 33
 938. Yellow 33 -> Red 19
 939. Red 19 -> Green 46
 940. Green 46 -> Red 35
 941. Red 35 -> Blue 42
 942. Blue 42 -> Yellow 38
 943. Yellow 38 -> Green 19
 944. Green 19 -> Red 24
 945. Red 24 -> Blue 12
 946. Blue 12 -> Red 42
 947. Red 42 -> Yellow 27
 948. Yellow 27 -> Blue 30
 949. Blue 30 -> Green 30
 950. Green 30 -> Yellow 48
 951. Yellow 48 -> Red 43
 952. Red 43 -> Blue 33
 953. Blue 33 -> Yellow 2
 954. Yellow 2 -> Red 6
 955. Red 6 -> Red 46
 956. Red 46 -> Yellow 47
 957. Yellow 47 -> Green 31
 958. Green 31 -> Red 26
 959. Red 26 -> Yellow 2
 960. Yellow 2 -> Blue 44
 961. Blue 44 -> Red 34
 962. Red 34 -> Blue 9
 963. Blue 9 -> Red 31
 964. Red 31 -> Blue 14
 965. Blue 14 -> Green 42
 966. Green 42 -> Red 35
 967. Red 35 -> Blue 36
 968. Blue 36 -> Green 5
 969. Green 5 -> Red 13
 970. Red 13 -> Blue 30
 971. Blue 30 -> Red 43
 972. Red 43 -> Blue 39
 973. Blue 39 -> Yellow 39
 974. Yellow 39 -> Red 11
 975. Red 11 -> Yellow 12
 976. Yellow 12 -> Green 1
 977. Green 1 -> Red 1
 978. Red 1 -> Yellow 20
 979. Yellow 20 -> Green 10
 980. Green 10 -> Yellow 46
 981. Yellow 46 -> Green 26
 982. Green 26 -> Yellow 50
 983. Yellow 50 -> Blue 45
 984. Blue 45 -> Yellow 43
 985. Yellow 43 -> Green 2
 986. Green 2 -> Green 50
 987. Green 50 -> Red 39
 988. Red 39 -> Blue 46
 989. Blue 46 -> Green 10
 990. Green 10 -> Red 17
 991. Red 17 -> Yellow 17
 992. Yellow 17 -> Red 6
 993. Red 6 -> Green 33
 994. Green 33 -> Blue 19
 995. Blue 19 -> Green 42
 996. Green 42 -> Red 5
 997. Red 5 -> Red 47
 998. Red 47 -> Yellow 5
 999. Yellow 5 -> Blue 34
1000. Blue 34 -> Red 15
1001. Red 15 -> Yellow 38
1002. Yellow 38 -> Red 14
1003. Red 14 -> Green 41
1004. Green 41 -> Red 38
1005. Red 38 -> Green 33
1006. Green 33 -> Red 34
1007. Red 34 -> Yellow 15
1008. Yellow 15 -> Green 3
1009. Green 3 -> Blue 19
1010. Blue 19 -> Green 8
1011. Green 8 -> Red 18
1012. Red 18 -> Green 49
1013. Green 49 -> Red 2
1014. Red 2 -> Green 10
1015. Green 10 -> Blue 23
1016. Blue 23 -> Red 49
1017. Red 49 -> Yellow 3
1018. Yellow 3 -> Blue 8
1019. Blue 8 -> Yellow 6
1020. Yellow 6 -> Blue 10
1021. Blue 10 -> Green 24
1022. Green 24 -> Yellow 42
1023. Yellow 42 -> Blue 41
1024. Blue 41 -> Yellow 39
1025. Yellow 39 -> Red 9
1026. Red 9 -> Yellow 19
1027. Yellow 19 -> Blue 49
1028. Blue 49 -> Blue 3
1029. Blue 3 -> Green 15
1030. Green 15 -> Yellow 31
1031. Yellow 31 -> Blue 33
1032. Blue 33 -> Red 16
1033. Red 16 -> Green 9
1034. Green 9 -> Blue 7
1035. Blue 7 -> Red 37
1036. Red 37 -> Blue 39
1037. Blue 39 -> Green 47
1038. Green 47 -> Blue 46
1039. Blue 46 -> Yellow 49
1040. Yellow 49 -> Green 42
1041. Green 42 -> Red 27
1042. Red 27 -> Yellow 9
1043. Yellow 9 -> Blue 10
1044. Blue 10 -> Red 30
1045. Red 30 -> Blue 40
1046. Blue 40 -> Yellow 43
1047. Yellow 43 -> Blue 38
1048. Blue 38 -> Red 44
1049. Red 44 -> Red 8
1050. Red 8 -> Yellow 44
1051. Yellow 44 -> Green 27
1052. Green 27 -> Blue 43
1053. Blue 43 -> Red 40
1054. Red 40 -> Blue 7
1055. Blue 7 -> Yellow 7
1056. Yellow 7 -> Red 46
1057. Red 46 -> Yellow 6
1058. Yellow 6 -> Red 36
1059. Red 36 -> Green 37
1060. Green 37 -> Yellow 47
1061. Yellow 47 -> Green 17
1062. Green 17 -> Blue 3
1063. Blue 3 -> Green 22
1064. Green 22 -> Red 22
1065. Red 22 -> Green 12
1066. Green 12 -> Red 8
1067. Red 8 -> Yellow 20
1068. Yellow 20 -> Blue 47
1069. Blue 47 -> Red 37
1070. Red 37 -> Yellow 5
1071. Yellow 5 -> Red 8
1072. Red 8 -> Green 45
1073. Green 45 -> Blue 49
1074. Blue 49 -> Yellow 47
1075. Yellow 47 -> Red 50
1076. Red 50 -> Blue 38
1077. Blue 38 -> Yellow 2
1078. Yellow 2 -> Red 27
1079. Red 27 -> Yellow 14
1080. Yellow 14 -> Red 2
1081. Red 2 -> Blue 2
1082. Blue 2 -> Green 36
1083. Green 36 -> Yellow 48
1084. Yellow 48 -> Red 37
1085. Red 37 -> Blue 25
1086. Blue 25 -> Green 8
1087. Green 8 -> Red 20
1088. Red 20 -> Green 19
1089. Green 19 -> Blue 28
1090. Blue 28 -> Yellow 25
1091. Yellow 25 -> Green 2
1092. Green 2 -> Blue 34
1093. Blue 34 -> Red 13
1094. Red 13 -> Green 44
1095. Green 44 -> Red 27
1096. Red 27 -> Green 16
1097. Green 16 -> Blue 11
1098. Blue 11 -> Red 24
1099. Red 24 -> Green 36
1100. Green 36 -> Yellow 50
1101. Yellow 50 -> Blue 43
1102. Blue 43 -> Yellow 38
1103. Yellow 38 -> Red 45
1104. Red 45 -> Red 7
1105. Red 7 -> Yellow 45
1106. Yellow 45 -> Blue 47
1107. Blue 47 -> Yellow 14
1108. Yellow 14 -> Green 10
1109. Green 10 -> Red 9
1110. Red 9 -> Green 38
1111. Green 38 -> Red 39
1112. Red 39 -> Blue 44
1113. Blue 44 -> Red 36
1114. Red 36 -> Yellow 11
1115. Yellow 11 -> Blue 13
1116. Blue 13 -> Green 1
1117. Green 1 -> Blue 47
1118. Blue 47 -> Red 35
1119. Red 35 -> Green 32
1120. Green 32 -> Blue 3
1121. Blue 3 -> Green 49
1122. Green 49 -> Blue 38
1123. Blue 38 -> Green 5
1124. Green 5 -> Red 17
1125. Red 17 -> Blue 31
1126. Blue 31 -> Red 42
1127. Red 42 -> Red 10
1128. Red 10 -> Blue 31
1129. Blue 31 -> Yellow 29
1130. Yellow 29 -> Red 4
1131. Red 4 -> Blue 6
1132. Blue 6 -> Blue 49
1133. Blue 49 -> Yellow 22
1134. Yellow 22 -> Green 12
1135. Green 12 -> Yellow 18
1136. Yellow 18 -> Red 1
1137. Red 1 -> Yellow 15
1138. Yellow 15 -> Blue 16
1139. Blue 16 -> Green 18
1140. Green 18 -> Red 25
1141. Red 25 -> Green 11
1142. Green 11 -> Red 16
1143. Red 16 -> Yellow 16
1144. Yellow 16 -> Green 13
1145. Green 13 -> Yellow 29
1146. Yellow 29 -> Blue 32
1147. Blue 32 -> Yellow 33
1148. Yellow 33 -> Red 47
1149. Red 47 -> Blue 21
1150. Blue 21 -> Green 45
1151. Green 45 -> Blue 16
1152. Blue 16 -> Green 35
1153. Green 35 -> Red 39
1154. Red 39 -> Green 32
1155. Green 32 -> Blue 34
1156. Blue 34 -> Yellow 4
1157. Yellow 4 -> Red 39
1158. Red 39 -> Green 40
1159. Green 40 -> Blue 19
1160. Blue 19 -> Yellow 18
1161. Yellow 18 -> Red 32
1162. Red 32 -> Blue 6
1163. Blue 6 -> Blue 46
1164. Blue 46 -> Red 36
1165. Red 36 -> Blue 35
1166. Blue 35 -> Red 12
1167. Red 12 -> Yellow 40
1168. Yellow 40 -> Blue 38
1169. Blue 38 -> Red 48
1170. Red 48 -> Yellow 15
1171. Yellow 15 -> Green 14
1172. Green 14 -> Red 13
1173. Red 13 -> Yellow 13
1174. Yellow 13 -> Green 4
1175. Green 4 -> Red 18
1176. Red 18 -> Green 44
1177. Green 44 -> Blue 17
1178. Blue 17 -> Green 3
1179. Green 3 -> Yellow 35
1180. Yellow 35 -> Green 19
1181. Green 19 -> Blue 42
1182. Blue 42 -> Red 42
1183. Red 42 -> Blue 29
1184. Blue 29 -> Red 11
1185. Red 11 -> Red 41
1186. Red 41 -> Green 31
1187. Green 31 -> Blue 7
1188. Blue 7 -> Blue 45
1189. Blue 45 -> Red 31
1190. Red 31 -> Green 19
1191. Green 19 -> Yellow 39
1192. Yellow 39 -> Green 22
1193. Green 22 -> Blue 9
1194. Blue 9 -> Red 26
1195. Red 26 -> Green 10
1196. Green 10 -> Red 4
1197. Red 4 -> Yellow 14
1198. Yellow 14 -> Blue 17
1199. Blue 17 -> Red 49
1200. Red 49 -> Yellow 14
1201. Yellow 14 -> Green 15
1202. Green 15 -> Blue 25
1203. Blue 25 -> Yellow 22
1204. Yellow 22 -> Green 9
1205. Green 9 -> Yellow 40
1206. Yellow 40 -> Blue 36
1207. Blue 36 -> Red 28
1208. Red 28 -> Blue 3
1209. Blue 3 -> Red 49
1210. Red 49 -> Blue 43
1211. Blue 43 -> Yellow 37
1212. Yellow 37 -> Green 21
1213. Green 21 -> Red 24
1214. Red 24 -> Yellow 3
1215. Yellow 3 -> Blue 5
1216. Blue 5 -> Blue 50
1217. Blue 50 -> Red 36
1218. Red 36 -> Green 39
1219. Green 39 -> Yellow 47
1220. Yellow 47 -> Green 20
1221. Green 20 -> Blue 11
1222. Blue 11 -> Yellow 5
1223. Yellow 5 -> Blue 33
1224. Blue 33 -> Red 14
1225. Red 14 -> Green 19
1226. Green 19 -> Blue 14
1227. Blue 14 -> Green 43
1228. Green 43 -> Red 35
1229. Red 35 -> Yellow 24
1230. Yellow 24 -> Green 1
1231. Green 1 -> Blue 15
1232. Blue 15 -> Yellow 16
1233. Yellow 16 -> Blue 50
1234. Blue 50 -> Red 35
1235. Red 35 -> Red 2
1236. Red 2 -> Green 29
1237. Green 29 -> Yellow 49
1238. Yellow 49 -> Blue 50
1239. Blue 50 -> Green 11
1240. Green 11 -> Yellow 12
1241. Yellow 12 -> Red 35
1242. Red 35 -> Yellow 45
1243. Yellow 45 -> Blue 41
1244. Blue 41 -> Yellow 12
1245. Yellow 12 -> Red 6
1246. Red 6 -> Yellow 7
1247. Yellow 7 -> Red 10
1248. Red 10 -> Blue 33
1249. Blue 33 -> Red 40
1250. Red 40 -> Red 12
1251. Red 12 -> Blue 31
1252. Blue 31 -> Red 15
1253. Red 15 -> Green 13
1254. Green 13 -> Red 25
1255. Red 25 -> Yellow 10
1256. Yellow 10 -> Green 3
1257. Green 3 -> Green 48
1258. Green 48 -> Green 4
1259. Green 4 -> Blue 21
1260. Blue 21 -> Red 48
1261. Red 48 -> Yellow 32
1262. Yellow 32 -> Blue 32
1263. Blue 32 -> Red 7
1264. Red 7 -> Yellow 21
1265. Yellow 21 -> Blue 23
1266. Blue 23 -> Yellow 23
1267. Yellow 23 -> Green 10
1268. Green 10 -> Blue 20
1269. Blue 20 -> Green 29
1270. Green 29 -> Red 36
1271. Red 36 -> Green 42
1272. Green 42 -> Red 29
1273. Red 29 -> Blue 41
1274. Blue 41 -> Red 36
1275. Red 36 -> Green 25
1276. Green 25 -> Blue 7
1277. Blue 7 -> Red 21
1278. Red 21 -> Blue 10
1279. Blue 10 -> Yellow 11
1280. Yellow 11 -> Green 2
1281. Green 2 -> Blue 9
1282. Blue 9 -> Yellow 12
1283. Yellow 12 -> Blue 37
1284. Blue 37 -> Yellow 39
1285. Yellow 39 -> Blue 42
1286. Blue 42 -> Blue 1
1287. Blue 1 -> Green 45
1288. Green 45 -> Green 7
1289. Green 7 -> Blue 26
1290. Blue 26 -> Green 48
1291. Green 48 -> Red 31
1292. Red 31 -> Blue 39
1293. Blue 39 -> Red 40
1294. Red 40 -> Green 31
1295. Green 31 -> Blue 35
1296. Blue 35 -> Red 11
1297. Red 11 -> Blue 3
1298. Blue 3 -> Red 1
1299. Red 1 -> Red 34
1300. Red 34 -> Green 47
1301. Green 47 -> Green 5
1302. Green 5 -> Blue 5
1303. Blue 5 -> Yellow 7
1304. Yellow 7 -> Red 33
1305. Red 33 -> Yellow 28
1306. Yellow 28 -> Red 29
1307. Red 29 -> Green 15
1308. Green 15 -> Yellow 21
1309. Yellow 21 -> Red 49
1310. Red 49 -> Blue 34
1311. Blue 34 -> Red 8
1312. Red 8 -> Yellow 11
1313. Yellow 11 -> Green 17
1314. Green 17 -> Yellow 41
1315. Yellow 41 -> Red 23
1316. Red 23 -> Blue 3
1317. Blue 3 -> Green 8
1318. Green 8 -> Red 28
1319. Red 28 -> Blue 42
1320. Blue 42 -> Yellow 35
1321. Yellow 35 -> Red 6
1322. Red 6 -> Red 48
1323. Red 48 -> Blue 39
1324. Blue 39 -> Green 20
1325. Green 20 -> Red 29
1326. Red 29 -> Green 34
1327. Green 34 -> Yellow 49
1328. Yellow 49 -> Green 37
1329. Green 37 -> Red 11
1330. Red 11 -> Green 50
1331. Green 50 -> Blue 2
1332. Blue 2 -> Green 33
1333. Green 33 -> Red 33
1334. Red 33 -> Red 3
1335. Red 3 -> Yellow 34
1336. Yellow 34 -> Green 19
1337. Green 19 -> Red 36
1338. Red 36 -> Green 31
1339. Green 31 -> Blue 5
1340. Blue 5 -> Blue 48
1341. Blue 48 -> Red 36
1342. Red 36 -> Blue 27
1343. Blue 27 -> Red 39
1344. Red 39 -> Green 27
1345. Green 27 -> Blue 2
1346. Blue 2 -> Green 25
1347. Green 25 -> Blue 31
1348. Blue 31 -> Yellow 34
1349. Yellow 34 -> Red 18
1350. Red 18 -> Green 2
1351. Green 2 -> Green 49
1352. Green 49 -> Green 3
1353. Green 3 -> Red 5
1354. Red 5 -> Blue 5
1355. Blue 5 -> Green 24
1356. Green 24 -> Red 21
1357. Red 21 -> Blue 33
1358. Blue 33 -> Red 50
1359. Red 50 -> Blue 22
1360. Blue 22 -> Yellow 25
1361. Yellow 25 -> Red 21
1362. Red 21 -> Green 14
1363. Green 14 -> Red 31
1364. Red 31 -> Yellow 19
1365. Yellow 19 -> Green 11
1366. Green 11 -> Blue 19
1367. Blue 19 -> Green 23
1368. Green 23 -> Blue 31
1369. Blue 31 -> Red 8
1370. Red 8 -> Blue 36
1371. Blue 36 -> Red 49
1372. Red 49 -> Yellow 4
1373. Yellow 4 -> Blue 11
1374. Blue 11 -> Yellow 8
1375. Yellow 8 -> Red 3
1376. Red 3 -> Red 34
1377. Red 34 -> Blue 38
1378. Blue 38 -> Yellow 47
1379. Yellow 47 -> Green 38
1380. Green 38 -> Blue 30
1381. Blue 30 -> Red 16
1382. Red 16 -> Blue 39
1383. Blue 39 -> Yellow 15
1384. Yellow 15 -> Blue 5
1385. Blue 5 -> Green 2
1386. Green 2 -> Blue 22
1387. Blue 22 -> Yellow 22
1388. Yellow 22 -> Blue 28
1389. Blue 28 -> Red 41
1390. Red 41 -> Blue 46
1391. Blue 46 -> Blue 3
1392. Blue 3 -> Green 5
1393. Green 5 -> Yellow 44
1394. Yellow 44 -> Green 36
1395. Green 36 -> Red 37
1396. Red 37 -> Green 18
1397. Green 18 -> Yellow 19
1398. Yellow 19 -> Green 1
1399. Green 1 -> Green 50
1400. Green 50 -> Red 34
1401. Red 34 -> Blue 48
1402. Blue 48 -> Yellow 10
1403. Yellow 10 -> Blue 5
1404. Blue 5 -> Red 43
1405. Red 43 -> Yellow 26
1406. Yellow 26 -> Blue 27
1407. Blue 27 -> Green 16
1408. Green 16 -> Yellow 12
1409. Yellow 12 -> Blue 4
1410. Blue 4 -> Blue 49
1411. Blue 49 -> Red 39
1412. Red 39 -> Red 13
1413. Red 13 -> Red 49
1414. Red 49 -> Red 19
1415. Red 19 -> Blue 34
1416. Blue 34 -> Red 39
1417. Red 39 -> Blue 29
1418. Blue 29 -> Red 14
1419. Red 14 -> Blue 35
1420. Blue 35 -> Yellow 43
1421. Yellow 43 -> Green 32
1422. Green 32 -> Blue 29
1423. Blue 29 -> Yellow 24
1424. Yellow 24 -> Green 9
1425. Green 9 -> Green 43
1426. Green 43 -> Red 19
1427. Red 19 -> Green 9
1428. Green 9 -> Yellow 16
1429. Yellow 16 -> Blue 10
1430. Blue 10 -> Green 17
1431. Green 17 -> Yellow 21
1432. Yellow 21 -> Blue 46
1433. Blue 46 -> Red 29
1434. Red 29 -> Yellow 25
1435. Yellow 25 -> Red 19
1436. Red 19 -> Yellow 19
1437. Yellow 19 -> Blue 15
1438. Blue 15 -> Red 43
1439. Red 43 -> Red 10
1440. Red 10 -> Blue 36
1441. Blue 36 -> Yellow 48
1442. Yellow 48 -> Green 41
1443. Green 41 -> Blue 15
1444. Blue 15 -> Red 26
1445. Red 26 -> Green 8
1446. Green 8 -> Yellow 50
1447. Yellow 50 -> Green 28
1448. Green 28 -> Red 42
1449. Red 42 -> Blue 37
1450. Blue 37 -> Red 7
1451. Red 7 -> Red 33
1452. Red 33 -> Green 40
1453. Green 40 -> Yellow 46
1454. Yellow 46 -> Blue 39
1455. Blue 39 -> Red 14
1456. Red 14 -> Red 48
1457. Red 48 -> Green 41
1458. Green 41 -> Green 3
1459. Green 3 -> Blue 13
1460. Blue 13 -> Yellow 6
1461. Yellow 6 -> Red 24
1462. Red 24 -> Yellow 4
1463. Yellow 4 -> Green 2
1464. Green 2 -> Blue 20
1465. Blue 20 -> Yellow 17
1466. Yellow 17 -> Green 13
1467. Green 13 -> Yellow 48
1468. Yellow 48 -> Red 27
1469. Red 27 -> Blue 43
1470. Blue 43 -> Yellow 18
1471. Yellow 18 -> Green 2
1472. Green 2 -> Blue 46
1473. Blue 46 -> Green 26
1474. Green 26 -> Yellow 11
1475. Yellow 11 -> Green 19
1476. Green 19 -> Yellow 18
1477. Yellow 18 -> Blue 8
1478. Blue 8 -> Yellow 13
1479. Yellow 13 -> Green 14
1480. Green 14 -> Blue 10
1481. Blue 10 -> Green 6
1482. Green 6 -> Green 46
1483. Green 46 -> Blue 50
1484. Blue 50 -> Red 27
1485. Red 27 -> Green 10
1486. Green 10 -> Red 32
1487. Red 32 -> Red 4
1488. Red 4 -> Blue 32
1489. Blue 32 -> Red 11
1490. Red 11 -> Blue 30
1491. Blue 30 -> Yellow 36
1492. Yellow 36 -> Blue 41
1493. Blue 41 -> Red 39
1494. Red 39 -> Yellow 32
1495. Yellow 32 -> Blue 39
1496. Blue 39 -> Blue 1
1497. Blue 1 -> Yellow 1
1498. Yellow 1 -> Blue 49
1499. Blue 49 -> Blue 7
1500. Blue 7 -> Red 16
1501. Red 16 -> Red 36
1502. Red 36 -> Green 21
1503. Green 21 -> Red 13
1504. Red 13 -> Blue 29
1505. Blue 29 -> Yellow 30
1506. Yellow 30 -> Red 45
1507. Red 45 -> Blue 30
1508. Blue 30 -> Green 28
1509. Green 28 -> Red 37
1510. Red 37 -> Blue 44
1511. Blue 44 -> Yellow 13
1512. Yellow 13 -> Green 36
1513. Green 36 -> Red 4
1514. Red 4 -> Yellow 3
1515. Yellow 3 -> Blue 35
1516. Blue 35 -> Yellow 41
1517. Yellow 41 -> Red 47
1518. Red 47 -> Green 50
1519. Green 50 -> Red 27
1520. Red 27 -> Blue 47
1521. Blue 47 -> Yellow 18
1522. Yellow 18 -> Green 39
1523. Green 39 -> Green 3
1524. Green 3 -> Yellow 17
1525. Yellow 17 -> Blue 49
1526. Blue 49 -> Red 43
1527. Red 43 -> Red 9
1528. Red 9 -> Green 48
1529. Green 48 -> Red 19
1530. Red 19 -> Red 47
1531. Red 47 -> Blue 22
1532. Blue 22 -> Yellow 13
1533. Yellow 13 -> Green 16
1534. Green 16 -> Red 37
1535. Red 37 -> Red 14
1536. Red 14 -> Red 38
1537. Red 38 -> Blue 50
1538. Blue 50 -> Yellow 13
1539. Yellow 13 -> Blue 3
1540. Blue 3 -> Blue 37
1541. Blue 37 -> Yellow 28
1542. Yellow 28 -> Blue 19
1543. Blue 19 -> Red 49
1544. Red 49 -> Green 37
1545. Green 37 -> Red 29
1546. Red 29 -> Yellow 7
1547. Yellow 7 -> Blue 12
1548. Blue 12 -> Red 27
1549. Red 27 -> Green 21
1550. Green 21 -> Red 23
1551. Red 23 -> Green 33
1552. Green 33 -> Yellow 50
1553. Yellow 50 -> Blue 49
1554. Blue 49 -> Blue 28
1555. Blue 28 -> Yellow 37
1556. Yellow 37 -> Red 13
1557. Red 13 -> Blue 42
1558. Blue 42 -> Blue 7
1559. Blue 7 -> Yellow 19
1560. Yellow 19 -> Red 47
1561. Red 47 -> Red 8
1562. Red 8 -> Yellow 8
1563. Yellow 8 -> Green 28
1564. Green 28 -> Yellow 10
1565. Yellow 10 -> Blue 11
1566. Blue 11 -> Yellow 15
1567. Yellow 15 -> Blue 25
1568. Blue 25 -> Green 2
1569. Green 2 -> Green 43
1570. Green 43 -> Yellow 28
1571. Yellow 28 -> Green 20
1572. Green 20 -> Red 39
1573. Red 39 -> Yellow 43
1574. Yellow 43 -> Green 34
1575. Green 34 -> Yellow 40
1576. Yellow 40 -> Blue 40
1577. Blue 40 -> Red 13
1578. Red 13 -> Blue 3
1579. Blue 3 -> Red 45
1580. Red 45 -> Blue 36
1581. Blue 36 -> Red 5
1582. Red 5 -> Red 31
1583. Red 31 -> Green 12
1584. Green 12 -> Yellow 49
1585. Yellow 49 -> Blue 35
1586. Blue 35 -> Red 32
1587. Red 32 -> Green 7
1588. Green 7 -> Blue 3
1589. Blue 3 -> Yellow 19
1590. Yellow 19 -> Green 37
1591. Green 37 -> Blue 14
1592. Blue 14 -> Red 49
1593. Red 49 -> Blue 48
1594. Blue 48 -> Yellow 20
1595. Yellow 20 -> Blue 2
1596. Blue 2 -> Blue 34
1597. Blue 34 -> Red 6
1598. Red 6 -> Blue 32
1599. Blue 32 -> Green 22
1600. Green 22 -> Red 17
1601. Red 17 -> Red 35
1602. Red 35 -> Blue 28
1603. Blue 28 -> Red 43
1604. Red 43 -> Green 26
1605. Green 26 -> Yellow 13
1606. Yellow 13 -> Red 16
1607. Red 16 -> Green 44
1608. Green 44 -> Blue 2
1609. Blue 2 -> Green 2
1610. Green 2 -> Yellow 23
1611. Yellow 23 -> Yellow 1
1612. Yellow 1 -> Red 50
1613. Red 50 -> Green 35
1614. Green 35 -> Red 41
1615. Red 41 -> Green 29
1616. Green 29 -> Yellow 7
1617. Yellow 7 -> Green 16
1618. Green 16 -> Blue 24
1619. Blue 24 -> Red 48
1620. Red 48 -> Blue 20
1621. Blue 20 -> Yellow 26
1622. Yellow 26 -> Blue 10
1623. Blue 10 -> Green 41
1624. Green 41 -> Green 11
1625. Green 11 -> Red 11
1626. Red 11 -> Red 39
1627. Red 39 -> Blue 37
1628. Blue 37 -> Red 17
1629. Red 17 -> Blue 30
1630. Blue 30 -> Red 8
1631. Red 8 -> Blue 39
1632. Blue 39 -> Red 21
1633. Red 21 -> Green 2
1634. Green 2 -> Red 27
1635. Red 27 -> Blue 6
1636. Blue 6 -> Red 22
1637. Red 22 -> Yellow 47
1638. Yellow 47 -> Yellow 5
1639. Yellow 5 -> Green 17
1640. Green 17 -> Red 26
1641. Red 26 -> Red 3
1642. Red 3 -> Blue 34
1643. Blue 34 -> Yellow 20
1644. Yellow 20 -> Green 28
1645. Green 28 -> Yellow 43
1646. Yellow 43 -> Red 50
1647. Red 50 -> Blue 7
1648. Blue 7 -> Blue 46
1649. Blue 46 -> Yellow 7
1650. Yellow 7 -> Green 32
1651. Green 32 -> Red 34
1652. Red 34 -> Green 39
1653. Green 39 -> Yellow 17
1654. Yellow 17 -> Blue 9
1655. Blue 9 -> Green 19
1656. Green 19 -> Yellow 3
1657. Yellow 3 -> Yellow 49
1658. Yellow 49 -> Green 19
1659. Green 19 -> Yellow 16
1660. Yellow 16 -> Green 40
1661. Green 40 -> Green 12
1662. Green 12 -> Yellow 21
1663. Yellow 21 -> Blue 5
1664. Blue 5 -> Blue 33
1665. Blue 33 -> Red 15
1666. Red 15 -> Red 37
1667. Red 37 -> Green 10
1668. Green 10 -> Yellow 13
1669. Yellow 13 -> Red 29
1670. Red 29 -> Green 7
1671. Green 7 -> Yellow 37
1672. Yellow 37 -> Red 5
1673. Red 5 -> Yellow 28
1674. Yellow 28 -> Red 41
1675. Red 41 -> Green 19
1676. Green 19 -> Red 16
1677. Red 16 -> Blue 47
